time,uav0_coords,uav0_state,uav1_coords,uav1_state,uav2_coords,uav2_state,uav3_coords,uav3_state,uav4_coords,uav4_state,uav5_coords,uav5_state,uav6_coords,uav6_state
35.80038619041443,"[-19.990514755249023, 9.977945327758789, 10.00881576538086]",,"[-0.015834344550967216, 30.01999855041504, 9.997493743896484]",,"[-10.019704818725586, 69.99986267089844, 10.009886741638184]",,"[39.97220230102539, 24.961528778076172, 9.999211311340332]",,"[-35.025028228759766, -51.00857162475586, 10.00108814239502]",,"[-51.01581573486328, -34.99595260620117, 9.994080543518066]",,"[-51.00065231323242, 0.0008478121599182487, 10.001948356628418]",
35.8503201007843,"[-19.989717483520508, 9.977888107299805, 10.008834838867188]",,"[-0.014803430065512657, 30.01865577697754, 9.997379302978516]",,"[-10.019765853881836, 70.00017547607422, 10.009779930114746]",,"[39.972286224365234, 24.962509155273438, 9.998969078063965]",,"[-35.023250579833984, -51.00801086425781, 10.000629425048828]",,"[-51.01571273803711, -34.99591064453125, 9.993647575378418]",,"[-50.999427795410156, 0.0011645143385976553, 10.001668930053711]",
35.900530099868774,"[-19.98872184753418, 9.977901458740234, 10.00869369506836]",,"[-0.01443824078887701, 30.0173397064209, 9.996140480041504]",,"[-10.019882202148438, 70.0008773803711, 10.009434700012207]",,"[39.97246170043945, 24.964004516601562, 9.998639106750488]",,"[-35.022239685058594, -51.007713317871094, 10.000348091125488]",,"[-51.015682220458984, -34.99588394165039, 9.993513107299805]",,"[-50.99888229370117, 0.0013340929290279746, 10.001594543457031]",
35.95023202896118,"[-19.98794937133789, 9.977945327758789, 10.008570671081543]",,"[-0.013203173875808716, 30.01557731628418, 9.995819091796875]",,"[-10.019970893859863, 70.001220703125, 10.009333610534668]",,"[39.972564697265625, 24.96521759033203, 9.998390197753906]",,"[-35.0204963684082, -51.00727462768555, 9.999786376953125]",,"[-51.01567459106445, -34.995731353759766, 9.993144035339355]",,"[-50.99771499633789, 0.0017669480293989182, 10.001362800598145]",
36.0002601146698,"[-19.987083435058594, 9.978034019470215, 10.008241653442383]",,"[-0.012610587291419506, 30.01472282409668, 9.995680809020996]",,"[-10.020102500915527, 70.00221252441406, 10.008928298950195]",,"[39.97282409667969, 24.967525482177734, 9.998114585876465]",,"[-35.01970291137695, -51.00709915161133, 9.999634742736816]",,"[-51.0156364440918, -34.99567794799805, 9.992982864379883]",,"[-50.99725341796875, 0.0019557185005396605, 10.001243591308594]",
36.0502290725708,"[-19.98667335510254, 9.978105545043945, 10.008081436157227]",,"[-0.011118737980723381, 30.0126953125, 9.995259284973145]",,"[-10.020112037658691, 70.0025863647461, 10.008851051330566]",,"[39.972984313964844, 24.968612670898438, 9.997993469238281]",,"[-35.018245697021484, -51.006797790527344, 9.999329566955566]",,"[-51.01554870605469, -34.995540618896484, 9.992599487304688]",,"[-50.996238708496094, 0.002406953601166606, 10.000892639160156]",
36.1002311706543,"[-19.985748291015625, 9.978355407714844, 10.007832527160645]",,"[-0.01046757586300373, 30.011863708496094, 9.99512767791748]",,"[-10.020009994506836, 70.00350189208984, 10.008607864379883]",,"[39.97333526611328, 24.971059799194336, 9.997565269470215]",,"[-35.01737976074219, -51.006649017333984, 9.99909782409668]",,"[-51.01551055908203, -34.99547576904297, 9.99238395690918]",,"[-50.99582290649414, 0.002605212852358818, 10.000748634338379]",
36.15109610557556,"[-19.985380172729492, 9.978439331054688, 10.007712364196777]",,"[-0.008587151765823364, 30.00948143005371, 9.994977951049805]",,"[-10.019949913024902, 70.0038833618164, 10.008516311645508]",,"[39.97355270385742, 24.972164154052734, 9.99737548828125]",,"[-35.016014099121094, -51.00647735595703, 9.998779296875]",,"[-51.015377044677734, -34.99536895751953, 9.992120742797852]",,"[-50.99486541748047, 0.0030412361957132816, 10.000378608703613]",
36.200303077697754,"[-19.984432220458984, 9.978657722473145, 10.007352828979492]",,"[-0.007654399611055851, 30.00830841064453, 9.994879722595215]",,"[-10.019801139831543, 70.00467681884766, 10.008256912231445]",,"[39.97410202026367, 24.974578857421875, 9.997088432312012]",,"[-35.01514434814453, -51.00635528564453, 9.99848747253418]",,"[-51.015289306640625, -34.995338439941406, 9.99189567565918]",,"[-50.994590759277344, 0.0031628303695470095, 10.00031852722168]",
36.250285148620605,"[-19.984088897705078, 9.978760719299316, 10.007176399230957]",,"[-0.005619029048830271, 30.005748748779297, 9.994600296020508]",,"[-10.019763946533203, 70.00514221191406, 10.008103370666504]",,"[39.97457504272461, 24.97637176513672, 9.99693489074707]",,"[-35.01387405395508, -51.00611877441406, 9.998269081115723]",,"[-51.01522445678711, -34.9952392578125, 9.99159049987793]",,"[-50.99375534057617, 0.00358933606185019, 10.000114440917969]",
