time,PX4_0_position,PX4_1_position,PX4_2_position,PX4_3_position,PX4_4_position,PX4_5_position,PX4_6_position,PX4_7_position,PX4_8_position,PX4_9_position,PX4_10_position
52.15024375915527,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[10.101777076721191, 29.62733268737793, 25.958280563354492]"
52.2002215385437,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[9.9541597366333, 29.448436737060547, 25.955453872680664]"
52.252105951309204,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[9.770282745361328, 29.22441291809082, 25.940406799316406]"
52.300297021865845,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[9.770282745361328, 29.22441291809082, 25.940406799316406]"
52.35035037994385,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[9.770282745361328, 29.22441291809082, 25.940406799316406]"
52.400251626968384,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[9.514599800109863, 28.909061431884766, 25.929794311523438]"
52.4502432346344,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[9.360234260559082, 28.71677589416504, 25.9268798828125]"
52.50035047531128,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[9.360234260559082, 28.71677589416504, 25.9268798828125]"
52.55026841163635,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[9.134228706359863, 28.433124542236328, 25.923768997192383]"
52.60192131996155,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[8.954150199890137, 28.205535888671875, 25.9216251373291]"
52.650317907333374,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[8.954150199890137, 28.205535888671875, 25.9216251373291]"
52.700247287750244,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[8.702987670898438, 27.88607406616211, 25.918832778930664]"
52.750316858291626,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[8.702987670898438, 27.88607406616211, 25.918832778930664]"
52.800429821014404,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[8.48842716217041, 27.611600875854492, 25.916576385498047]"
52.85026001930237,"[0.011600341647863388, -0.011683349497616291, 15.6303071975708]","[0.011828973889350891, 9.988176345825195, 15.708341598510742]","[0.012810668908059597, 14.987177848815918, 15.634904861450195]","[0.011578368954360485, 19.988203048706055, 15.691783905029297]","[5.013724327087402, -0.013774413615465164, 15.701557159423828]","[10.010684967041016, -0.010839843191206455, 15.629344940185547]","[85.00971221923828, 85.00983428955078, -0.5380504131317139]","[90.01239013671875, 90.01250457763672, -0.5380499362945557]","[98.74343872070312, 99.28561401367188, -0.5380505323410034]","[85.08968353271484, 99.0401382446289, -0.5380501747131348]","[8.48842716217041, 27.611600875854492, 25.916576385498047]"
